hero1,hero2,hero3,hero4,hero5,result
26,29,40,64,92,1
18,34,61,77,79,0
5,6,17,27,75,0
18,35,55,72,98,1
18,55,72,89,94,1
35,74,104,105,122,1
18,61,63,70,92,1
3,16,72,83,106,1
0,1,72,92,118,0
55,68,83,92,94,0
9,100,104,109,122,1
1,7,31,92,104,1
31,62,89,90,104,1
9,61,105,107,122,1
9,18,62,89,113,1
61,68,98,104,115,1
7,18,61,65,89,1
3,77,83,104,109,1
70,82,102,104,122,1
35,55,73,92,114,1
9,55,61,68,79,1
61,68,85,104,115,0
6,8,43,50,55,1
57,70,89,100,104,1
9,35,42,100,122,0
31,92,97,98,104,1
11,16,35,92,98,1
15,41,66,109,122,1
5,28,31,41,111,1
24,55,70,104,106,1
28,62,83,104,109,1
3,5,41,104,109,1
55,98,100,111,113,0
28,50,90,109,115,1
57,70,89,97,122,0
30,55,79,106,109,0
8,43,50,55,109,1
31,73,92,107,122,1
28,62,90,104,111,1
28,32,108,109,111,1
32,61,104,109,113,1
30,62,79,105,115,1
0,30,47,93,104,1
32,50,73,105,113,1
28,50,62,90,109,1
77,100,107,109,111,1
49,60,72,104,109,0
31,49,50,104,122,1
3,48,55,77,92,1
0,30,47,64,73,0
28,50,55,90,111,1
60,73,90,92,109,0
41,79,90,97,111,1
40,41,62,66,111,1
8,41,53,111,122,1
43,55,68,98,113,1
47,89,90,93,109,1
15,29,33,55,77,1
74,90,107,111,122,1
26,40,50,94,111,1
8,28,50,109,113,1
53,57,60,70,90,1
49,50,68,93,115,0
8,28,31,42,70,1
8,31,40,42,53,0
36,41,55,77,82,0
31,35,77,92,94,0
4,11,41,90,122,0
3,47,57,92,105,1
18,41,97,111,122,1
16,47,49,104,108,0
9,29,97,109,122,1
33,57,63,79,87,0
5,28,31,60,115,1
29,33,94,102,115,0
24,29,33,94,111,0
62,83,109,111,113,1
8,53,83,109,111,0
27,28,31,92,107,0
43,48,55,98,113,1
43,46,48,50,55,0
9,31,61,115,119,1
9,40,97,109,118,0
18,40,41,97,111,1
31,41,80,97,113,1
3,26,31,50,55,1
5,24,60,69,97,1
18,37,41,47,111,1
28,30,62,92,109,1
17,40,50,66,109,1
31,40,47,100,104,0
17,18,24,29,57,1
18,69,97,98,122,0
4,18,28,77,109,1
8,31,35,60,115,1
26,28,83,102,109,0
24,50,55,73,109,1
18,31,50,97,113,1
9,29,41,47,97,1
8,41,47,61,68,1
2,14,30,97,122,1
4,8,47,50,70,0
50,55,62,90,109,1
30,47,62,102,109,1
31,47,50,97,99,1
63,98,109,113,115,1
4,29,47,109,111,0
30,50,60,62,109,0
15,31,35,50,122,0
32,44,57,62,107,1
1,8,61,70,119,1
2,57,61,82,83,0
2,8,30,32,61,1
8,44,62,72,82,0
2,32,54,77,84,1
2,30,66,77,121,1
7,61,70,77,101,1
12,30,32,44,58,0
2,24,32,101,121,0
2,55,57,60,61,1
41,54,61,77,115,0
2,8,60,62,106,0
0,8,32,51,100,1
1,32,51,73,109,1
70,100,107,115,117,1
17,27,60,77,105,1
70,77,107,113,121,1
18,36,54,77,102,1
64,72,95,115,117,0
18,77,106,107,113,1
31,37,64,77,106,1
37,64,106,107,115,1
3,32,37,60,117,0
8,24,36,106,107,1
37,40,43,64,107,1
18,36,61,72,115,1
45,70,100,101,107,0
51,62,72,75,115,0
18,36,54,62,77,1
18,43,96,113,115,0
37,57,64,77,96,1
64,91,107,113,115,1
24,34,87,106,109,0
31,32,41,60,84,1
31,36,57,61,115,1
18,36,55,73,77,0
2,32,36,61,107,0
31,32,43,64,77,0
8,37,62,107,115,0
21,36,84,115,121,0
21,53,57,61,77,1
8,21,31,32,106,1
2,64,100,107,115,1
2,57,62,107,115,1
2,8,31,77,106,1
1,18,61,87,122,1
24,31,41,60,84,1
0,8,21,41,57,1
2,17,29,57,114,0
29,57,70,106,113,1
24,31,77,100,107,1
53,64,107,115,117,0
8,21,31,77,106,1
24,43,77,107,119,1
24,31,64,77,106,1
21,31,77,100,112,0
24,31,60,84,106,1
